"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"SARAFEM (NDA #021860)","009","FLUOXETINE HYDROCHLORIDE","WARNER CHILCOTT LLC","Labeling Revision","07/05/2013"
"DONEPEZIL HYDROCHLORIDE (ANDA #202114)","000","DONEPEZIL HYDROCHLORIDE","CSPC OUYI PHARM CO","Approval","07/05/2013"
"TRUVADA (NDA #021752)","039","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD","Manufacturing Change or Addition","07/08/2013"
"INTELENCE (NDA #022187)","015","ETRAVIRINE","JANSSEN R AND D","Manufacturing Change or Addition","07/08/2013"
"CEVIMELINE HYDROCHLORIDE (ANDA #091591)","001","CEVIMELINE HYDROCHLORIDE","ROXANE","Approval","07/08/2013"
"DIPRIVAN (NDA #019627)","060","PROPOFOL","FRESENIUS KABI USA","Manufacturing Change or Addition","07/09/2013"
"CIPRO HC (NDA #020805)","010","CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE","ALCON PHARMS LTD","Manufacturing Change or Addition","07/09/2013"
"OVIDREL (NDA #021149)","017","CHORIOGONADOTROPIN ALFA","EMD SERONO","Manufacturing Change or Addition","07/09/2013"
"SUSTIVA (NDA #021360)","032","EFAVIRENZ","BRISTOL MYERS SQUIBB","Manufacturing Change or Addition","07/09/2013"
"SYNERA (NDA #021623)","022","LIDOCAINE; TETRACAINE","GALEN SPECIALTY","Manufacturing Change or Addition","07/09/2013"
"METHYLPHENIDATE HYDROCHLORIDE (ANDA #091695)","000","METHYLPHENIDATE HYDROCHLORIDE","KUDCO IRELAND","Approval","07/09/2013"
"DELZICOL (NDA #204412)","001","MESALAMINE","WARNER CHILCOTT LLC","Manufacturing Change or Addition","07/09/2013"
"MONISTAT 7 (NDA #017450)","063","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 7 (NDA #018520)","024","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 3 (NDA #018888)","015","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"LUPRON DEPOT (NDA #019732)","040","LEUPROLIDE ACETATE","ABBVIE ENDOCRINE INC","Labeling Revision","07/10/2013"
"MONISTAT 7 COMBINATION PACK (NDA #020288)","017","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"LUPRON DEPOT (NDA #020517)","035","LEUPROLIDE ACETATE","ABBVIE ENDOCRINE INC","Labeling Revision","07/10/2013"
"MONISTAT-3 COMBINATION PACK (NDA #020670)","022","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 3 (NDA #020827)","021","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT DUAL- PAK (NDA #020968)","003","MICONAZOLE NITRATE","PERSONAL PRODS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 3 COMBINATION PACK (NDA #021261)","014","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 3 COMBINATION PACK (PREFILLED) (NDA #021261)","014","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"MONISTAT 1 COMBINATION PACK (NDA #021308)","019","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","07/10/2013"
"OXYTROL (NDA #021351)","012","OXYBUTYNIN","WATSON LABS (UTAH)","Manufacturing Change or Addition","07/10/2013"
"LUVOX (NDA #021519)","006","FLUVOXAMINE MALEATE","ANI PHARMS","Manufacturing Change or Addition","07/10/2013"
"DURAPREP (NDA #021586)","004","IODINE POVACRYLEX; ISOPROPYL ALCOHOL","3M","Manufacturing Change or Addition","07/10/2013"
"EXPAREL (NDA #022496)","004","BUPIVACAINE","PACIRA PHARMS INC","Manufacturing Change or Addition","07/10/2013"
"MORPHINE SULFATE (NDA #201517)","005","MORPHINE SULFATE","LANNETT HOLDINGS INC","Manufacturing Change or Addition","07/10/2013"
"STENDRA (NDA #202276)","004","AVANAFIL","VIVUS","Manufacturing Change or Addition","07/10/2013"
"KHEDEZLA (NDA #204683)","000","DESVENLAFAXINE","OSMOTICA PHARM CORP","Approval","07/10/2013"
"FEMARA (NDA #020726)","025","LETROZOLE","NOVARTIS PHARMS","Manufacturing Change or Addition","07/11/2013"
"KETEK (NDA #021144)","016","TELITHROMYCIN","SANOFI AVENTIS US","Manufacturing Change or Addition","07/11/2013"
"TIROSINT (NDA #021924)","010","LEVOTHYROXINE SODIUM","INSTITUT BIOCHIMIQUE","Manufacturing Change or Addition","07/11/2013"
"NUCYNTA (NDA #022304)","007","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","07/11/2013"
"NUCYNTA (NDA #022304)","008","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","07/11/2013"
"NUCYNTA (NDA #022304)","009","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","07/11/2013"
"NUCYNTA (NDA #022304)","011","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","07/11/2013"
"NUCYNTA (NDA #022304)","012","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","07/11/2013"
"REPAGLINIDE (ANDA #077571)","000","REPAGLINIDE","CARACO","Approval","07/11/2013"
"OXYMORPHONE HYDROCHLORIDE (ANDA #079046)","000","OXYMORPHONE HYDROCHLORIDE","ACTAVIS ELIZABETH","Approval","07/11/2013"
"OXYCODONE AND ACETAMINOPHEN (ANDA #090733)","000","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","VINTAGE PHARMS","Approval","07/11/2013"
"OXYCODONE AND ACETAMINOPHEN (ANDA #090734)","000","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","VINTAGE PHARMS","Approval","07/11/2013"
"SUPRENZA (NDA #202088)","006","PHENTERMINE HYDROCHLORIDE","CITIUS PHARMS","Labeling Revision","07/11/2013"
"DECITABINE (ANDA #203131)","000","DECITABINE","DR REDDYS LABS LTD","Approval","07/11/2013"
"MINASTRIN 24 FE (NDA #203667)","002","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","WARNER CHILCOTT LLC","Labeling Revision","07/11/2013"
"BACTRIM (NDA #017377)","068","SULFAMETHOXAZOLE; TRIMETHOPRIM","MUTUAL PHARM","Labeling Revision","07/12/2013"
"BACTRIM (NDA #017377)","073","SULFAMETHOXAZOLE; TRIMETHOPRIM","MUTUAL PHARM","Labeling Revision","07/12/2013"
"BACTRIM DS (NDA #017377)","068","SULFAMETHOXAZOLE; TRIMETHOPRIM","MUTUAL PHARM","Labeling Revision","07/12/2013"
"BACTRIM DS (NDA #017377)","073","SULFAMETHOXAZOLE; TRIMETHOPRIM","MUTUAL PHARM","Labeling Revision","07/12/2013"
"TRI-LUMA (NDA #021112)","007","FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN","GALDERMA LABS LP","Manufacturing Change or Addition","07/12/2013"
"FANAPT (NDA #022192)","010","ILOPERIDONE","NOVARTIS","Manufacturing Change or Addition","07/12/2013"
"RAPAFLO (NDA #022206)","012","SILODOSIN","WATSON LABS","Labeling Revision","07/12/2013"
"AZACTAM IN PLASTIC CONTAINER (NDA #050632)","016","AZTREONAM","BRISTOL MYERS SQUIBB","Manufacturing Change or Addition","07/12/2013"
"FOLIC ACID (ANDA #091145)","000","FOLIC ACID","BICON PHARM","Approval","07/12/2013"
"DESOGESTREL AND ETHINYL ESTRADIOL (ANDA #091234)","000","DESOGESTREL; ETHINYL ESTRADIOL","NOVAST LABS LTD","Approval","07/12/2013"
"MYCOPHENOLATE MOFETIL (ANDA #200197)","000","MYCOPHENOLATE MOFETIL","ALKEM LABS LTD","Approval","07/12/2013"
"LATUDA (NDA #200603)","015","LURASIDONE HYDROCHLORIDE","SUNOVION PHARMS INC","Manufacturing Change or Addition","07/12/2013"
"GILOTRIF (NDA #201292)","000","AFATINIB DIMALEATE","BOEHRINGER INGELHEIM","Approval","07/12/2013"
"OXYCODONE HYDROCHLORIDE (ANDA #203208)","000","OXYCODONE HYDROCHLORIDE","ROXANE","Approval","07/12/2013"
"GABAPENTIN (ANDA #203244)","000","GABAPENTIN","ACI HEALTHCARE LTD","Approval","07/12/2013"
"INFUVITE ADULT (NDA #021163)","026","ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K","SANDOZ","Manufacturing Change or Addition","07/13/2013"
"CORGARD (NDA #018063)","063","NADOLOL","KING PHARMS","Labeling Revision","07/15/2013"
"CORZIDE (NDA #018647)","025","BENDROFLUMETHIAZIDE; NADOLOL","KING PHARMS","Labeling Revision","07/15/2013"
"HEPARIN SODIUM 1,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 10,000 UNITS IN SODIUM CHLORIDE 0.45% (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 10,000 UNITS IN SODIUM CHLORIDE 0.9% (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 12,500 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 12,500 UNITS IN SODIUM CHLORIDE 0.9% (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 2,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 5,000 UNITS IN SODIUM CHLORIDE 0.45% (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"HEPARIN SODIUM 5,000 UNITS IN SODIUM CHLORIDE 0.9% (NDA #018916)","062","HEPARIN SODIUM","HOSPIRA","Manufacturing Change or Addition","07/15/2013"
"FEMHRT (NDA #021065)","022","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","WARNER CHILCOTT LLC","Manufacturing Change or Addition","07/15/2013"
"MIRAPEX ER (NDA #022421)","008","PRAMIPEXOLE DIHYDROCHLORIDE","BOEHRINGER INGELHEIM","Manufacturing Change or Addition","07/15/2013"
"OXYMORPHONE HYDROCHLORIDE (ANDA #200822)","000","OXYMORPHONE HYDROCHLORIDE","ROXANE","Approval","07/15/2013"
"LAMOTRIGINE (ANDA #200828)","000","LAMOTRIGINE","WATSON LABS INC","Approval","07/15/2013"
"OXYCODONE AND ACETAMINOPHEN (ANDA #201972)","000","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","AUROLIFE PHARMA LLC","Approval","07/15/2013"
"OXYCODONE HYDROCHLORIDE (ANDA #204037)","000","OXYCODONE HYDROCHLORIDE","ROXANE","Approval","07/15/2013"
"ELOXATIN (NDA #021759)","016","OXALIPLATIN","SANOFI AVENTIS US","Labeling Revision","07/16/2013"
"ELSPAR (BLA #101063)","5169","ASPARAGINASE","MERCK","Labeling Revision","07/16/2013"
"ELIQUIS (NDA #202155)","001","APIXABAN","BRISTOL MYERS SQUIBB","Manufacturing Change or Addition","07/16/2013"
"ACAMPROSATE CALCIUM (ANDA #202229)","000","ACAMPROSATE CALCIUM","GLENMARK GENERICS","Approval","07/16/2013"
"AGRYLIN (NDA #020333)","020","ANAGRELIDE HYDROCHLORIDE","SHIRE LLC","Labeling Revision","07/17/2013"
"REPAGLINIDE (ANDA #201189)","000","REPAGLINIDE","PADDOCK LLC","Tentative Approval","07/17/2013"
"TRETINOIN (ANDA #202026)","000","TRETINOIN","SPEAR PHARMS INC","Approval","07/17/2013"
"TRETINOIN (ANDA #202567)","000","TRETINOIN","SPEAR PHARMS INC","Approval","07/17/2013"
"AZULFIDINE (NDA #007073)","126","SULFASALAZINE","PHARMACIA AND UPJOHN","Labeling Revision","07/18/2013"
"AZULFIDINE EN-TABS (NDA #007073)","126","SULFASALAZINE","PHARMACIA AND UPJOHN","Labeling Revision","07/18/2013"
"MEDROL (NDA #011153)","071","METHYLPREDNISOLONE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","07/18/2013"
"HEPARIN SODIUM (NDA #017651)","060","HEPARIN SODIUM","FRESENIUS KABI USA","Manufacturing Change or Addition","07/18/2013"
"CIS-MDP (NDA #018124)","021","TECHNETIUM TC-99M MEDRONATE KIT","PHARMALUCENCE","Manufacturing Change or Addition","07/18/2013"
"MICRO-K (NDA #018238)","041","POTASSIUM CHLORIDE","NESHER PHARMS","Manufacturing Change or Addition","07/18/2013"
"MICRO-K 10 (NDA #018238)","041","POTASSIUM CHLORIDE","NESHER PHARMS","Manufacturing Change or Addition","07/18/2013"
"NUTROPIN AQ (NDA #020522)","049","SOMATROPIN RECOMBINANT","GENENTECH","Manufacturing Change or Addition","07/18/2013"
"NUTROPIN AQ PEN (NDA #020522)","049","SOMATROPIN RECOMBINANT","GENENTECH","Manufacturing Change or Addition","07/18/2013"
"HUMALOG (NDA #020563)","141","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","07/18/2013"
"HUMALOG KWIKPEN (NDA #020563)","141","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","07/18/2013"
"HUMALOG PEN (NDA #020563)","141","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","07/18/2013"
"LANTUS (NDA #021081)","058","INSULIN GLARGINE RECOMBINANT","SANOFI AVENTIS US","Manufacturing Change or Addition","07/18/2013"
"LANTUS SOLOSTAR (NDA #021081)","058","INSULIN GLARGINE RECOMBINANT","SANOFI AVENTIS US","Manufacturing Change or Addition","07/18/2013"
"NEURONTIN (NDA #021129)","038","GABAPENTIN","PARKE DAVIS","Manufacturing Change or Addition","07/18/2013"
"RISPERDAL CONSTA (NDA #021346)","049","RISPERIDONE","JANSSEN PHARMS","Manufacturing Change or Addition","07/18/2013"
"FLOVENT HFA (NDA #021433)","022","FLUTICASONE PROPIONATE","GLAXO GRP LTD","Manufacturing Change or Addition","07/18/2013"
"SIMPONI ARIA (BLA #125433)","000","GOLIMUMAB","JANSSEN BIOTECH","Approval","07/18/2013"
"FENOFIBRIC ACID (ANDA #201573)","000","CHOLINE FENOFIBRATE","ANCHEN PHARMS","Approval","07/18/2013"
"OSMITROL 10% IN WATER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 10% IN WATER IN PLASTIC CONTAINER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 15% IN WATER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 15% IN WATER IN PLASTIC CONTAINER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 20% IN WATER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 20% IN WATER IN PLASTIC CONTAINER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 5% IN WATER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"OSMITROL 5% IN WATER IN PLASTIC CONTAINER (NDA #013684)","097","MANNITOL","BAXTER HLTHCARE","Manufacturing Change or Addition","07/19/2013"
"CLOZARIL (NDA #019758)","069","CLOZAPINE","NOVARTIS","Labeling Revision","07/19/2013"
"CLOZARIL (NDA #019758)","071","CLOZAPINE","NOVARTIS","Labeling Revision","07/19/2013"
"NUVARING (NDA #021187)","023","ETHINYL ESTRADIOL; ETONOGESTREL","ORGANON USA INC","Manufacturing Change or Addition","07/19/2013"
"FAZACLO ODT (NDA #021590)","021","CLOZAPINE","JAZZ PHARMS III","Labeling Revision","07/19/2013"
"FANAPT (NDA #022192)","012","ILOPERIDONE","NOVARTIS","Manufacturing Change or Addition","07/19/2013"
"TIMENTIN (NDA #050590)","066","CLAVULANATE POTASSIUM; TICARCILLIN DISODIUM","GLAXOSMITHKLINE","Manufacturing Change or Addition","07/19/2013"
"METFORMIN HYDROCHLORIDE (ANDA #091664)","000","METFORMIN HYDROCHLORIDE","LUPIN LTD","Approval","07/19/2013"
"TBO-FILGRASTIM (BLA #125294)","007","TBO-FILGRASTIM","SICOR BIOTECH","Labeling Revision","07/19/2013"
"ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE (ANDA #202253)","000","ONDANSETRON HYDROCHLORIDE","BD RX","Approval","07/19/2013"
"JANUMET XR (NDA #202270)","004","METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE","MERCK SHARP DOHME","Manufacturing Change or Addition","07/19/2013"
"MYRBETRIQ (NDA #202611)","002","MIRABEGRON","APGDI","Manufacturing Change or Addition","07/19/2013"
"ASTAGRAF XL (NDA #204096)","000","TACROLIMUS","ASTELLAS","Approval","07/19/2013"
"XYLOCAINE (NDA #006488)","087","LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","07/22/2013"
"XYLOCAINE W/ EPINEPHRINE (NDA #006488)","087","EPINEPHRINE; LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","07/22/2013"
"REGONOL (NDA #017398)","018","PYRIDOSTIGMINE BROMIDE","SANDOZ","Manufacturing Change or Addition","07/22/2013"
"ZEMPLAR (NDA #020819)","031","PARICALCITOL","ABBVIE","Manufacturing Change or Addition","07/22/2013"
"TARGRETIN (NDA #021056)","005","BEXAROTENE","VALEANT LUXEMBOURG","Manufacturing Change or Addition","07/22/2013"
"VANIQA (NDA #021145)","008","EFLORNITHINE HYDROCHLORIDE","SKINMEDICA","Manufacturing Change or Addition","07/22/2013"
"APIDRA (NDA #021629)","024","INSULIN GLULISINE RECOMBINANT","SANOFI AVENTIS US","Manufacturing Change or Addition","07/22/2013"
"APIDRA SOLOSTAR (NDA #021629)","024","INSULIN GLULISINE RECOMBINANT","SANOFI AVENTIS US","Manufacturing Change or Addition","07/22/2013"
"DUETACT (NDA #021925)","013","GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE","TAKEDA PHARMS USA","Manufacturing Change or Addition","07/22/2013"
"LUMIGAN (NDA #022184)","002","BIMATOPROST","ALLERGAN","Manufacturing Change or Addition","07/22/2013"
"CARBAGLU (NDA #022562)","001","CARGLUMIC ACID","ORPHAN EUROPE","Manufacturing Change or Addition","07/22/2013"
"INCIVEK (NDA #201917)","011","TELAPREVIR","VERTEX PHARMS","Manufacturing Change or Addition","07/22/2013"
"VICTRELIS (NDA #202258)","008","BOCEPREVIR","MERCK SHARP DOHME","Manufacturing Change or Addition","07/22/2013"
"CORDRAN (NDA #012806)","037","FLURANDRENOLIDE","AQUA PHARMS","Manufacturing Change or Addition","07/23/2013"
"CORDRAN SP (NDA #012806)","037","FLURANDRENOLIDE","AQUA PHARMS","Manufacturing Change or Addition","07/23/2013"
"CONRAY (NDA #013295)","063","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","07/23/2013"
"CONRAY 43 (NDA #013295)","063","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","07/23/2013"
"EPI E Z PEN JR (NDA #019430)","054","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","07/23/2013"
"EPIPEN (NDA #019430)","054","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","07/23/2013"
"EPIPEN E Z PEN (NDA #019430)","054","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","07/23/2013"
"EPIPEN JR. (NDA #019430)","054","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","07/23/2013"
"TERAZOL 7 (NDA #019579)","036","TERCONAZOLE","JANSSEN PHARMS","Manufacturing Change or Addition","07/23/2013"
"TERAZOL 3 (NDA #019641)","029","TERCONAZOLE","JANSSEN PHARMS","Manufacturing Change or Addition","07/23/2013"
"TERAZOL 3 (NDA #019964)","031","TERCONAZOLE","JANSSEN PHARMS","Manufacturing Change or Addition","07/23/2013"
"PENTASA (NDA #020049)","025","MESALAMINE","SHIRE","Labeling Revision","07/23/2013"
